,concept_id,concept_name,hierarchy
747,1030007,Structure of vesicular bursa of sternohyoid muscle (body structure),body structure
748,1032004,Enucleation of parotid gland cyst (procedure),procedure
749,1033009,Thoracic arthritis (disorder),disorder
750,1034003,Mesenteric-portal fistula (disorder),disorder
751,1035002,"Minimum bactericidal concentration test, microdilution method (procedure)",procedure
752,1036001,"Insertion of intravascular device in common iliac vein, complete (procedure)",procedure
754,1038000,Disacchariduria (disorder),disorder
756,1040005,Anterior open dislocation (morphologic abnormality),morphologic abnormality
757,1041009,Debridement of open fracture of phalanges of foot (procedure),procedure
758,1045000,Colonospasm (disorder),disorder
759,1046004,Ureteritis glandularis (disorder),disorder
761,1048003,Capillary specimen collection (procedure),procedure
763,1051005,Hyperplasia of islet alpha cells with gastrin excess (disorder),disorder
765,1054002,Incision of sphincter of Oddi (procedure),procedure
766,1055001,Stenosis of precerebral artery (disorder),disorder
769,1059007,Opisthorchiasis (disorder),disorder
771,1063000,Structure of frontozygomatic suture of skull (body structure),body structure
777,1070000,Facial myokymia (finding),finding
779,1071001,Proximal splenorenal anastomosis (procedure),procedure
780,1073003,"Xeroderma pigmentosum, group B (disorder)",disorder
782,1076006,Entire subcutaneous prepatellar bursa (body structure),body structure
783,1077002,Septal infarction by electrocardiogram (finding),finding
785,1079004,Macular retinal cyst (disorder),disorder
790,1084005,Excision of perinephric cyst (procedure),procedure
791,1085006,Candidiasis of vulva (disorder),disorder
792,1086007,Female structure (body structure),body structure
793,1087003,Structure of sternothyroid muscle (body structure),body structure
794,1089000,Intrauterine fetal sepsis (disorder),disorder
797,1092001,Structure of superior occipital gyrus (body structure),body structure
798,1093006,Excision of abdominal varicose vein (procedure),procedure
802,1099005,Structure of thymic cortex (body structure),body structure
803,1101003,Cranial cavity structure (body structure),body structure
804,1102005,Intraerythrocytic parasitosis caused by Nuttallia (disorder),disorder
805,1103000,Transcrural mobilization of stapes (procedure),procedure
806,1104006,Triad knee repair (procedure),procedure
808,1106008,Entire major calyx (body structure),body structure
809,1107004,"Early latent syphilis, positive serology, negative cerebrospinal fluid, with relapse after treatment (disorder)",disorder
810,1108009,Female pattern alopecia (disorder),disorder
812,1110006,Structure of meibomian gland (body structure),body structure
813,1111005,Normal sebaceous gland activity (finding),finding
814,1112003,Degenerative disorder of eyelid (disorder),disorder
816,1115001,Decortication (procedure),procedure
817,1116000,Chronic aggressive type B viral hepatitis (disorder),disorder
818,1119007,Closed reduction of dislocation of foot and toe (procedure),procedure
820,1121002,Kinetic activities for range of motion (regime/therapy),regime/therapy
821,1122009,Structure of inferior longitudinal muscle of tongue (body structure),body structure
822,1124005,"Postpartum period, 6 days (finding)",finding
823,1125006,Sepsis during labor (disorder),disorder
824,1126007,Knee locking (finding),finding
825,1127003,Interstitial radium application (procedure),procedure
826,1129000,Acidophilic body (morphologic abnormality),morphologic abnormality
827,1131009,Congenital valvular insufficiency (disorder),disorder
828,1133007,Removal of intact implants of bilateral breasts (procedure),procedure
829,1134001,Muehrcke's lines (disorder),disorder
830,1135000,Solar retinopathy (disorder),disorder
831,1136004,Structure of aortopulmonary septum (body structure),body structure
833,1138003,Moderate squamous cell atypia (morphologic abnormality),morphologic abnormality
834,1139006,Confrontation (visual) test (finding),finding
835,1140008,Thermal hypesthesia (finding),finding
836,1141007,Circumoral paresthesia (finding),finding
839,1145003,Developmental speech disorder (disorder),disorder
844,1150009,Congenital microcheilia (disorder),disorder
845,1151008,Visual field constriction (finding),finding
846,1152001,Skin reaction negative (finding),finding
849,1155004,"Myocardial hypertrophy, determined by electrocardiogram (finding)",finding
852,1159005,Structure of frenulum linguae (body structure),body structure
856,1163003,Ureteroenterostomy (procedure),procedure
858,1168007,Allotype (finding),finding
861,1172006,Structure of odontoid process of axis (body structure),body structure
862,1173001,Structure of mandibular nerve (body structure),body structure
863,1174007,"Chromosomes, group E (cell structure)",cell structure
864,1176009,Incision of inguinal region (procedure),procedure
866,1184008,"Glasgow coma scale, 10 (finding)",finding
868,1188006,Superior open dislocation (morphologic abnormality),morphologic abnormality
872,1193009,Structure of teres major muscle (body structure),body structure
873,1194003,"Disease condition determination, well controlled (finding)",finding
875,1196001,"Chronic bipolar II disorder, most recent episode major depressive (disorder)",disorder
876,1197005,Carbuncle of heel (disorder),disorder
877,1198000,Excisional biopsy of bone of scapula (procedure),procedure
880,1201005,Benign essential hypertension (disorder),disorder
883,1207009,Glaucomatous atrophy of optic disc (disorder),disorder
884,1208004,Gastroptosis (disorder),disorder
885,1209007,Arthroscopy of knee with lateral meniscus repair (procedure),procedure
888,1212005,Childhood type dermatomyositis (disorder),disorder
890,1214006,Infection caused by Strongyloides (disorder),disorder
892,1216008,Structure of synostosis (body structure),body structure
899,1227005,Incision of subvalvular tissue for discrete subvalvular aortic stenosis (procedure),procedure
900,1231004,Meninges structure (body structure),body structure
902,1235008,Muscle transfer (procedure),procedure
903,1236009,Structure of duodenal serosa (body structure),body structure
904,1237000,Application of sugar tong cast (procedure),procedure
905,1238005,Epiphyseal arrest by stapling of distal radius (procedure),procedure
906,1239002,Congenital anteversion of femur (finding),finding
907,1240000,Prone body position (finding),finding
910,1243003,Structure of inferior articular process of sixth cervical vertebra (body structure),body structure
913,1246006,Structure of dorsal digital nerves of radial nerve (body structure),body structure
916,1251000,Incisional biopsy of testis (procedure),procedure
917,1253002,Refusion of spine (procedure),procedure
920,1258006,Excision of meniscus of wrist (procedure),procedure
921,1259003,Schistosis (disorder),disorder
922,1261007,Fracture of multiple ribs (disorder),disorder
924,1263005,Distinctive arrangement of microtubules (cell structure),cell structure
