,concept_id,concept_name,hierarchy
925,1264004,Injury of descending left colon without open wound into abdominal cavity (disorder),disorder
927,1266002,Closure of tympanic membrane perforation (procedure),procedure
928,1267006,Coagulation of lesion of vagina using electrical energy (procedure),procedure
932,1271009,"Knuckle pads, leukonychia, sensorineural deafness, palmoplantar hyperkeratosis syndrome (disorder)",disorder
937,1277008,Structure of vertebral nerve (body structure),body structure
938,1278003,Open reduction of closed shoulder joint dislocation with fracture of greater tuberosity (procedure),procedure
939,1280009,Isologous chimera (disorder),disorder
941,1282001,Perichondritis of larynx (disorder),disorder
942,1284000,Abnormal jaw closure (disorder),disorder
944,1286003,Vitamin K deficiency coagulation disorder (disorder),disorder
945,1287007,Congenital absence of bile duct (disorder),disorder
949,1292009,Magnetic resonance imaging of urinary bladder (procedure),procedure
952,1297003,Infection caused by Cladosporium carrionii (disorder),disorder
953,1299000,Excision of appendiceal stump (procedure),procedure
958,1307006,Glottis structure (body structure),body structure
959,1308001,Complication of reimplant (disorder),disorder
961,1310004,Impaired glucose tolerance associated with genetic syndrome (disorder),disorder
962,1311000,Structure of telogen hair (body structure),body structure
967,1315009,Reconstruction of eyebrow (procedure),procedure
968,1318006,Post-translational genetic protein processing (finding),finding
971,1323006,Poisoning caused by kanamycin (disorder),disorder
972,1324000,Cerebrospinal fluid immunoglobulin G ratio and immunoglobulin G index (procedure),procedure
974,1327007,Procedure on Meckel's diverticulum (procedure),procedure
975,1328002,Ilioiliac shunt (procedure),procedure
976,1329005,Division of congenital web of larynx (procedure),procedure
979,1332008,Conjugated visual deviation (finding),finding
981,1335005,Induratio penis plastica (disorder),disorder
983,1337002,Colosigmoidostomy (procedure),procedure
984,1338007,Basal cell carcinoma (morphologic abnormality),morphologic abnormality
985,1339004,Removal of impacted feces (procedure),procedure
988,1343000,Deep transverse arrest (disorder),disorder
990,1345007,Hang nail (disorder),disorder
993,1350001,Structure of deep flexor tendon within index finger (body structure),body structure
994,1351002,Injury of iliac artery (disorder),disorder
995,1352009,Anterior spinal rhizotomy (procedure),procedure
996,1353004,Structure of gastric serosa (body structure),body structure
999,1356007,Calculus of common duct with obstruction (disorder),disorder
1000,1358008,"Anti-human globulin test, enzyme technique, titer (procedure)",procedure
1003,1361009,Leukocoria (disorder),disorder
1005,1366004,Inhalation therapy procedure (procedure),procedure
1006,1367008,Injury of superior mesenteric artery (disorder),disorder
1009,1370007,Open fracture of metacarpal bone (disorder),disorder
1011,1372004,Uterus unicornis (disorder),disorder
1014,1376001,Obsessive compulsive personality disorder (disorder),disorder
1015,1378000,Supination-eversion injury of ankle (disorder),disorder
1016,1380006,Agoraphobia without history of panic disorder with limited symptom attacks (disorder),disorder
1019,1383008,Hallucinogen mood disorder (disorder),disorder
1020,1384002,Diffuse cholesteatosis of middle ear (disorder),disorder
1021,1385001,"Echography, scan B-mode for fetal age determination (procedure)",procedure
1022,1386000,Intracranial hemorrhage (disorder),disorder
1023,1387009,Solanum nigrum poisoning (disorder),disorder
1024,1388004,Metabolic alkalosis (disorder),disorder
1026,1390003,Laparoscopic-assisted sigmoid colectomy (procedure),procedure
1029,1393001,Lenz-Majewski hyperostosis syndrome (disorder),disorder
1033,1398005,Direct thrombectomy of iliac vein by incision of lower limb (procedure),procedure
1034,1399002,Incision and exploration of ureter (procedure),procedure
1036,1402001,Fear (finding),finding
1037,1403006,Structure of vastus lateralis muscle (body structure),body structure
1039,1407007,"Application of long leg cast, brace type (procedure)",procedure
1041,1411001,Operation on papillary muscle of heart (procedure),procedure
1042,1412008,Anterior subcapsular polar cataract (disorder),disorder
1043,1413003,Penetrating keratoplasty with homograft (procedure),procedure
1044,1415005,Lymphangitis (disorder),disorder
1046,1417002,Operation on face (procedure),procedure
1047,1418007,Hypoplastic chondrodystrophy (disorder),disorder
1052,1425000,Structure of posterior limb of stapes (body structure),body structure
1053,1426004,Necrotizing glomerulonephritis (disorder),disorder
1055,1431002,Fixation (procedure),procedure
1057,1439000,Structure of paravesicular lymph node (body structure),body structure
1058,1440003,Repair with resection-recession (procedure),procedure
1059,1441004,Structure of ventricle of larynx (body structure),body structure
1060,1443001,Chromophobe carcinoma (morphologic abnormality),morphologic abnormality
1064,1447000,Icthyoparasitism (disorder),disorder
1065,1449002,Epilation (procedure),procedure
1068,1453000,"Biofeedback, galvanic skin response (regime/therapy)",regime/therapy
1069,1454006,Chronic fibrinous inflammation (morphologic abnormality),morphologic abnormality
1070,1455007,Cerclage (procedure),procedure
1071,1456008,Structure of yellow fibrocartilage (body structure),body structure
1072,1457004,Truncal vagotomy with pyloroplasty and gastrostomy (procedure),procedure
1079,1467009,Structure of parietal branch of superficial temporal artery (body structure),body structure
1080,1469007,Miscarriage with urinary tract infection (disorder),disorder
1084,1474004,Hypertensive heart AND renal disease complicating AND/OR reason for care during childbirth (disorder),disorder
1085,1475003,Herpes labialis (disorder),disorder
1088,1478001,Obliteration of lymphatic vessel (disorder),disorder
1089,1479009,20q partial trisomy (disorder),disorder
1091,1482004,Cyst of meibomian gland (disorder),disorder
1093,1484003,Structure of metatarsal region of foot (body structure),body structure
1094,1486001,Orbital congestion (disorder),disorder
1095,1488000,Postoperative nausea and vomiting (disorder),disorder
1096,1489008,Hordeolum externum (disorder),disorder
1097,1490004,Structure of soft tissue of trunk (body structure),body structure
1099,1492007,Congenital anomaly of large intestine (disorder),disorder
1100,1493002,Acute endophthalmitis (disorder),disorder
1101,1494008,Osmolarity measurement (procedure),procedure
1105,1499003,"Bipolar I disorder, single manic episode with postpartum onset (disorder)",disorder
1106,1500007,Anastomosis of bilateral epididymides to bilateral vas deferens (procedure),procedure
1107,1501006,"Altemeier operation, perineal rectal pull-through (procedure)",procedure
1108,1502004,Structure of anterior cecal artery (body structure),body structure
1110,1505002,Hospital admission for isolation (procedure),procedure
1116,1511004,Ejaculatory duct structure (body structure),body structure
1117,1512006,Congenital stricture of bile duct (disorder),disorder
1118,1513001,Melanotic neuroectodermal tumor (morphologic abnormality),morphologic abnormality
1119,1515008,Gorham's disease (disorder),disorder
1120,1516009,Frontomental diameter of head (body structure),body structure
1122,1518005,Splenitis (disorder),disorder
1123,1519002,Congenital phlebectasia (disorder),disorder
1125,1521007,Blister of buttock without infection (disorder),disorder
1126,1522000,Plaque (morphologic abnormality),morphologic abnormality
1128,1525003,Blister of foot without infection (disorder),disorder
1130,1527006,Structure of lamina of fourth thoracic vertebra (body structure),body structure
1132,1529009,Aspiration of soft tissue (procedure),procedure
1134,1531000,Poisoning caused by nitrofuran derivatives (disorder),disorder
1135,1532007,Viral pharyngitis (disorder),disorder
1136,1533002,Ureteroplication (procedure),procedure
1137,1534008,Palsy of conjugate gaze (disorder),disorder
1140,1537001,Intervertebral disc structure of eleventh thoracic vertebra (body structure),body structure
1141,1538006,Fetal malformation of central nervous system affecting obstetrical care (disorder),disorder
1142,1539003,Acquired trigger finger (disorder),disorder
1144,1541002,Structure of coccygeal plexus (body structure),body structure
1145,1542009,Omphalocele with obstruction (disorder),disorder
1147,1544005,Open dislocation of knee (disorder),disorder
1154,1550000,Amikacin measurement (procedure),procedure
1155,1551001,Osteomyelitis of femur (disorder),disorder
1156,1555005,Brief group psychotherapy (regime/therapy),regime/therapy
1157,1556006,Clark melanoma level 4 (finding),finding
1161,1559004,Interleukin-2 assay (procedure),procedure
1162,1561008,Swollen sarcoplasmic reticulum (morphologic abnormality),morphologic abnormality
1163,1562001,Structure of nucleus pulposus of intervertebral disc of third lumbar vertebra (body structure),body structure
1164,1563006,Protein S deficiency disease (disorder),disorder
1168,1567007,"Chronic gastric ulcer without hemorrhage, without perforation AND without obstruction (disorder)",disorder
1172,1576000,Closure of uteroenteric fistula (procedure),procedure
1173,1578004,Reconstruction of ossicles with stapedectomy (procedure),procedure
1175,1580005,Structure of ventral lateral nucleus of thalamus (body structure),body structure
